seed,mode,T,fullGO,eventGOLoss,postPairDistanceIncrease,eventFreshNeighbors,eventActiveNeighbors,eventInputMass,eventInputConcentration
103,kalman,30,0.661641887537118,-0.0018365148810459,0.000477437586075264,8,15,0.180477235773431,0.464605683508813
104,none,3,0.874397578804337,-0.00314434454252036,0.000348803948260615,8,8,0.09625452574583,0.537644429513276
104,hold,3,0.887455385469965,5.59274492539341e-05,1.9219440584739e-06,8,15,0.180477235773431,0.526238243549633
104,mean,3,0.887458094264992,-2.10567259238736e-05,9.95479454657111e-07,8,15,0.180477235773431,0.526704595286663
104,kalman,3,0.887458020827663,-1.18063063051399e-05,1.03319790572182e-06,8,15,0.180477235773431,0.52660889113541
104,none,10.2,0.876750302208351,-0.00352550111017812,0.000460958629976265,8,8,0.09625452574583,0.541115210593356
104,hold,10.2,0.888059953838592,0.000505834623066983,1.24181518868594e-05,8,15,0.180477235773431,0.526076428414429
104,mean,10.2,0.887471462602788,-0.000331149115400298,1.03674581672902e-05,8,15,0.180477235773431,0.524516844064534
104,kalman,10.2,0.887547853877354,-0.000259403414189782,1.26157945192573e-05,8,15,0.180477235773431,0.522939095647578
104,none,30,0.878269877473575,-0.00306382267391948,-4.98650066106435e-05,8,8,0.09625452574583,0.537776623551543
104,hold,30,0.88537818451585,0.00332794349186397,-0.000595152862540169,8,15,0.180477235773431,0.520322649925008
104,mean,30,0.880469839078356,0.00156583574274388,0.000391185929192823,8,15,0.180477235773431,0.519711806518632
104,kalman,30,0.866933849219606,0.0053482638279253,0.00218410573351678,8,15,0.180477235773431,0.492599570040562
105,none,3,0.336877148697287,0.00371462549289117,-0.000109883812819719,8,8,0.09625452574583,0.47559352491801
105,hold,3,0.337249340160778,0.00108323573144929,4.53745927706922e-05,8,15,0.180477235773431,0.426672944912603
105,mean,3,0.336898187781299,0.000527633297298069,6.35622929779367e-06,8,15,0.180477235773431,0.426792612236514
105,kalman,3,0.336898340902278,0.000527767057522188,6.33080211663806e-06,8,15,0.180477235773431,0.426720117761571
105,none,10.2,0.342728999368435,0.00828607345446616,-0.000659461298280413,8,8,0.09625452574583,0.472816981768384
105,hold,10.2,0.333690009997867,0.00540006548939201,0.000103183325808373,8,15,0.180477235773431,0.425867674275571
105,mean,10.2,0.337018310055238,0.00257622957106596,-1.26641343110057e-05,8,15,0.180477235773431,0.425007906784946
105,kalman,10.2,0.336734466640613,0.00215334185691791,-2.58819559826701e-05,8,15,0.180477235773431,0.42378159831256
105,none,30,0.354293706627685,0.00919555888051484,-0.0038440544734661,8,8,0.09625452574583,0.469449480621464
105,hold,30,0.35013630082992,0.0126315957573149,0.00044923677314049,8,15,0.180477235773431,0.424603440606917
