hiddenCount,T,mode,metric,n,mean,ci95
11,10.2,none,postPairDistanceDeviation,2,0.000666133390430474,0.000628333359921428
11,10.2,none,recoveryTime,2,1.2,0
11,10.2,hold,eventGOLoss,2,-0.000248168033679775,0.00296599094711848
11,10.2,hold,eventGODeviation,2,0.00193707056885962,0.000429316225010461
11,10.2,hold,postGOLoss,2,0.0019096346730931,0.00397227773396171
11,10.2,hold,postGODeviation,2,0.00348020808855985,0.00118775050872423
11,10.2,hold,eventPairDistanceIncrease,2,1.90887204478954e-05,4.5312797637606e-06
11,10.2,hold,eventPairDistanceDeviation,2,1.9330241957181e-05,5.00466192196037e-06
11,10.2,hold,postPairDistanceIncrease,2,0.000173147921670404,8.35990934683464e-06
11,10.2,hold,postPairDistanceDeviation,2,0.000173147921670404,8.35990934683464e-06
11,10.2,hold,meanPredictionError,2,0.0556038262578736,0.00895289196690662
11,10.2,hold,p90PredictionError,2,0.0988440646017567,0.00392769415225528
11,10.2,hold,recoveryTime,2,1.2,0
11,10.2,mean,eventGOLoss,2,0.00212853954894269,0.00379445582653741
11,10.2,mean,eventGODeviation,2,0.00275324291863728,0.0027470141199947
11,10.2,mean,postGOLoss,2,0.0159191598402408,0.0219850927566646
11,10.2,mean,postGODeviation,2,0.015943876002895,0.0219366490778625
11,10.2,mean,eventPairDistanceIncrease,2,5.06860316655535e-06,2.59762407484941e-05
11,10.2,mean,eventPairDistanceDeviation,2,1.3259049102779e-05,9.94582320884406e-06
11,10.2,mean,postPairDistanceIncrease,2,0.000111813960408009,0.000338973292893996
11,10.2,mean,postPairDistanceDeviation,2,0.000172945557598978,0.000219155362399698
11,10.2,mean,meanPredictionError,2,0.0563846880804571,0.0151983434304306
11,10.2,mean,p90PredictionError,2,0.0689938142120076,0.00254508613066591
11,10.2,mean,recoveryTime,2,1.2,0
11,10.2,kalman,eventGOLoss,2,0.0028771686918556,0.00323896970172046
11,10.2,kalman,eventGODeviation,2,0.00336960084390423,0.0024271417975847
11,10.2,kalman,postGOLoss,2,0.0207744939891592,0.0236205003060162
11,10.2,kalman,postGODeviation,2,0.0207744939891592,0.0236205003060162
11,10.2,kalman,eventPairDistanceIncrease,2,2.3658242496641e-06,2.56242179832493e-05
11,10.2,kalman,eventPairDistanceDeviation,2,1.30796407777327e-05,4.64873954765595e-06
11,10.2,kalman,postPairDistanceIncrease,2,-7.945852105433e-06,0.000414691187192512
11,10.2,kalman,postPairDistanceDeviation,2,0.00021157713632271,1.55738701266487e-05
11,10.2,kalman,meanPredictionError,2,0.0563815536142794,0.0152044982981228
11,10.2,kalman,p90PredictionError,2,0.0689023912305484,0.00246065859173656
11,10.2,kalman,recoveryTime,2,1.2,0
11,10.2,kalman-gm,eventGOLoss,2,0.00013629793874095,0.00544529747399777
11,10.2,kalman-gm,eventGODeviation,2,0.00294691940460591,0.000486483146181449
11,10.2,kalman-gm,postGOLoss,2,0.00856707361301689,0.0330363102476973
11,10.2,kalman-gm,postGODeviation,2,0.0168596285124882,0.0167829026447335
11,10.2,kalman-gm,eventPairDistanceIncrease,2,1.57207719192402e-05,1.92556326979347e-05
11,10.2,kalman-gm,eventPairDistanceDeviation,2,1.58340919630823e-05,1.90335254120043e-05
11,10.2,kalman-gm,postPairDistanceIncrease,2,0.000222681080053336,0.000396543766917503
11,10.2,kalman-gm,postPairDistanceDeviation,2,0.000222683181262279,0.000396539648547975
11,10.2,kalman-gm,meanPredictionError,2,0.0455440347320368,0.0302699600245185
11,10.2,kalman-gm,p90PredictionError,2,0.0538622353336202,0.0100380780656887
11,10.2,kalman-gm,recoveryTime,2,1.2,0
