seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS
138,2,7601,1e-08,3,0.13779351146111,2.79668931528536e-07,9.78388820305474e-06,0,0,0,5999.91895751207
138,2,7601,1e-08,10.2,0.429056892392668,0.0078775948507785,3.0701926526387e-05,0,0,0,5999.91895751207
138,2,7601,1e-08,30,8.85567869031015,3.51416879627228,0.00022036857811208,0,0,0,5999.91895751207
138,2,7601,1e-08,60,0.143501427895574,2.35003066839072,0.001160888145643,0,0,0,5999.91895751207
138,2,7601,1e-08,120,5.00612736561449,1.67826199245759,0.00737909542410409,0,0,0,5999.91895751207
138,2,7601,1e-06,3,0.000281984303375279,2.79668931528536e-07,8.40741847535785e-05,1,0,0,526.613437659897
138,2,7601,1e-06,10.2,0.0188370674053073,0.0078775948507785,0.000801581202199402,0,0,0,526.613437659897
138,2,7601,1e-06,30,4.03537665624488,3.51416879627228,0.0121645920110148,0,0,0,526.613437659897
138,2,7601,1e-06,60,1.61007702562669,2.35003066839072,0.0840083161455725,0,0,0,526.613437659897
138,2,7601,1e-06,120,0.595405175408634,1.67826199245759,0.622782900887812,1,0,0,526.613437659897
138,2,7601,0.0001,3,0.000360635947863223,2.79668931528536e-07,0.00201027975025284,1,0,0,29.7629581544474
138,2,7601,0.0001,10.2,0.0201109275702412,0.0078775948507785,0.0457343308175817,1,0,0,29.7629581544474
138,2,7601,0.0001,30,4.07998848411011,3.51416879627228,0.984502341602683,0,0,0,29.7629581544474
138,2,7601,0.0001,60,1.55738692590488,2.35003066839072,7.53294378013383,1,1,0,29.7629581544474
138,2,7601,0.0001,120,0.534312567043259,1.67826199245759,58.9217748425493,1,1,0,29.7629581544474
138,3,6001,1e-08,3,3.04497268959433e-06,1.12354442949949e-05,9.78388820305474e-06,1,0,0,1.08366895237572
138,3,6001,1e-08,10.2,2.30258794772188e-06,0.000265708384483763,3.0701926526387e-05,1,0,0,1.08366895237572
138,3,6001,1e-08,30,4.9895830922525e-05,0.00358377606868282,0.00022036857811208,1,0,0,1.08366895237572
138,3,6001,1e-08,60,0.000728273703376054,0.00621241656944695,0.001160888145643,1,0,0,1.08366895237572
138,3,6001,1e-08,120,0.103547251429267,0.0120941032019285,0.00737909542410409,0,0,0,1.08366895237572
138,3,6001,1e-06,3,8.44098056970954e-06,1.12354442949949e-05,8.40741847535785e-05,1,0,0,1.0724743183334
138,3,6001,1e-06,10.2,1.48876218335161e-05,0.000265708384483763,0.000801581202199402,1,0,0,1.0724743183334
138,3,6001,1e-06,30,2.17810289949344e-06,0.00358377606868282,0.0121645920110148,1,0,0,1.0724743183334
138,3,6001,1e-06,60,0.00140578932128355,0.00621241656944695,0.0840083161455725,1,0,0,1.0724743183334
138,3,6001,1e-06,120,0.117055538396273,0.0120941032019285,0.622782900887812,1,0,0,1.0724743183334
