hiddenCount,T,mode,metric,n,mean,ci95Low,ci95High
7.0,10.2,kalman,eventGODeviation,30,0.0010944318439687216,0.0008096407623482927,0.0014303363711262525
7.0,10.2,kalman,postGOLoss,30,1.183944318837622e-06,-0.00263802148291785,0.0024691537102372444
7.0,10.2,kalman,postGODeviation,30,0.0037237668482939844,0.0019288695659575494,0.006039052747448535
7.0,10.2,kalman,eventPairDistanceIncrease,30,1.631229360186103e-06,-2.1925714220751203e-06,6.39382319352489e-06
7.0,10.2,kalman,eventPairDistanceDeviation,30,7.752012819386486e-06,4.80793461683033e-06,1.1488155448936537e-05
7.0,10.2,kalman,postPairDistanceIncrease,30,-2.118065436894688e-05,-7.684244179199255e-05,3.4806901446332536e-05
7.0,10.2,kalman,postPairDistanceDeviation,30,0.00010849548081094536,7.066134498728142e-05,0.00015343521733170786
7.0,10.2,kalman,meanPredictionError,30,0.05554609379299061,0.04898117743188927,0.06245500150259896
7.0,10.2,kalman,p90PredictionError,30,0.07315319481031525,0.06927415106510819,0.07716558227606868
7.0,10.2,kalman,recoveryTime,30,1.2,1.2,1.2
7.0,10.2,kalman-gm,eventGOLoss,30,-5.43152979631977e-05,-0.0004930240699190871,0.00041407950184657805
7.0,10.2,kalman-gm,eventGODeviation,30,0.0009955610988067849,0.0007120852617995009,0.0013474003008594481
7.0,10.2,kalman-gm,postGOLoss,30,0.0008089901542970553,-3.2726049947238014e-05,0.0018054134723432384
7.0,10.2,kalman-gm,postGODeviation,30,0.0017998513267190328,0.001158644759990235,0.002646132359453873
7.0,10.2,kalman-gm,eventPairDistanceIncrease,30,4.534694862773316e-06,8.486766228053076e-07,9.091383784344836e-06
7.0,10.2,kalman-gm,eventPairDistanceDeviation,30,7.709058834249926e-06,4.975969976046729e-06,1.1569848368902347e-05
7.0,10.2,kalman-gm,postPairDistanceIncrease,30,6.029541770883239e-05,2.6964725115222754e-05,9.959377883085862e-05
7.0,10.2,kalman-gm,postPairDistanceDeviation,30,8.00954442731417e-05,5.25643698971924e-05,0.0001135197816884526
7.0,10.2,kalman-gm,meanPredictionError,30,0.049955723172218344,0.04194481455665779,0.058617671307741266
7.0,10.2,kalman-gm,p90PredictionError,30,0.05843607231940801,0.04789967023689837,0.07105463699212464
7.0,10.2,kalman-gm,recoveryTime,30,1.2,1.2,1.2
7.0,10.2,mean,eventGOLoss,30,4.8328152838776874e-05,-0.00037041266146280096,0.0004860849110692272
7.0,10.2,mean,eventGODeviation,30,0.001041723622138541,0.0007883942189772315,0.0013386577260082624
7.0,10.2,mean,postGOLoss,30,0.0007554471551629958,-0.0005894006353217847,0.0022216331661503224
7.0,10.2,mean,postGODeviation,30,0.002520393432134482,0.0015375684771187748,0.003806422292303597
7.0,10.2,mean,eventPairDistanceIncrease,30,2.4009741421873615e-06,-1.4948000103357754e-06,7.315249267282601e-06
7.0,10.2,mean,eventPairDistanceDeviation,30,7.473714679419063e-06,4.248070318926481e-06,1.1533516862694554e-05
7.0,10.2,mean,postPairDistanceIncrease,30,3.291432333458785e-05,-8.498053779732284e-06,8.26639299289252e-05
7.0,10.2,mean,postPairDistanceDeviation,30,8.003214160350165e-05,4.5625811006268155e-05,0.00012140937998579188
7.0,10.2,mean,meanPredictionError,30,0.05555080426437324,0.048988304283887195,0.06245861086437334
7.0,10.2,mean,p90PredictionError,30,0.07316407969394183,0.06928631925186331,0.07717682986865258
7.0,10.2,mean,recoveryTime,30,1.2,1.2,1.2
7.0,10.2,none,eventGOLoss,30,-3.735780047567389e-05,-0.0028003872471925794,0.0027874845852340494
7.0,10.2,none,eventGODeviation,30,0.006434185418777663,0.004868591298959273,0.008110992768177944
7.0,10.2,none,postGOLoss,30,-0.0031308735722914,-0.008937523384534702,0.002476298730888897
7.0,10.2,none,postGODeviation,30,0.0144662122395643,0.011375937913819812,0.017838430376203133
7.0,10.2,none,eventPairDistanceIncrease,30,9.447074252613552e-05,6.670659871822267e-05,0.00012376961454951439
7.0,10.2,none,eventPairDistanceDeviation,30,9.763989713277259e-05,7.170397332090226e-05,0.0001257455578600327
7.0,10.2,none,postPairDistanceIncrease,30,0.0007129514469636527,0.0004539561543393316,0.0009957922703206002
7.0,10.2,none,postPairDistanceDeviation,30,0.000803227942819148,0.0005851056822665214,0.001050963202406946
7.0,10.2,none,meanPredictionError,30,nan,nan,nan
7.0,10.2,none,p90PredictionError,30,nan,nan,nan
7.0,10.2,none,recoveryTime,30,1.2,1.2,1.2
7.0,18.0,hold,eventGOLoss,30,0.001305711259647534,8.013736587146276e-05,0.002572225663075048
7.0,18.0,hold,eventGODeviation,30,0.0032034909367184713,0.002483675969127795,0.003987473682034097
7.0,18.0,hold,postGOLoss,30,0.0019129602575956401,-0.000552828408704899,0.004572706833630878
7.0,18.0,hold,postGODeviation,30,0.006415846637464957,0.004892146322478126,0.008156495581296004
7.0,18.0,hold,eventPairDistanceIncrease,30,4.89550648573562e-05,3.1915156921386735e-05,6.740779982475582e-05
7.0,18.0,hold,eventPairDistanceDeviation,30,5.236642248068253e-05,3.719886647162135e-05,6.964439851243575e-05
7.0,18.0,hold,postPairDistanceIncrease,30,0.00042533058799790825,0.0002827346660239201,0.0005789709818827205
7.0,18.0,hold,postPairDistanceDeviation,30,0.0004429118878844281,0.0003110006915747127,0.0005920441684190973
7.0,18.0,hold,meanPredictionError,30,0.10423835577333032,0.08952749488911221,0.11963154026560745
7.0,18.0,hold,p90PredictionError,30,0.20111590084600356,0.1643252166240524,0.24314678269860343
7.0,18.0,hold,recoveryTime,30,1.2,1.2,1.2
7.0,18.0,kalman,eventGOLoss,30,0.00020336135610940536,-0.0009935312325759162,0.0013998535590378045
7.0,18.0,kalman,eventGODeviation,30,0.0028554428925038045,0.0021826416309108014,0.003597082894121149
7.0,18.0,kalman,postGOLoss,30,0.0008998773956313923,-0.0039172825615657264,0.004904593802632927
7.0,18.0,kalman,postGODeviation,30,0.00864131538607278,0.006055958421559457,0.01228121479370312
7.0,18.0,kalman,eventPairDistanceIncrease,30,-8.95051953105608e-07,-1.2907479661310091e-05,1.3049385546243524e-05
7.0,18.0,kalman,eventPairDistanceDeviation,30,2.7691555748826573e-05,1.953883176977866e-05,3.667494127798884e-05
7.0,18.0,kalman,postPairDistanceIncrease,30,-0.0002123142157156766,-0.00038735965909663647,-7.304429090225109e-05
7.0,18.0,kalman,postPairDistanceDeviation,30,0.00033370585719562227,0.00022992037842681608,0.0004811503042024576
7.0,18.0,kalman,meanPredictionError,30,0.0947198116849884,0.08394314464041024,0.10628112219225036
7.0,18.0,kalman,p90PredictionError,30,0.13782801523044785,0.12625077914174387,0.1508004597969817
7.0,18.0,kalman,recoveryTime,30,1.2,1.2,1.2
7.0,18.0,kalman-gm,eventGOLoss,30,0.0007105393015586625,-0.00012780761947246838,0.0015869703340252797
7.0,18.0,kalman-gm,eventGODeviation,30,0.002257113667052728,0.0017689844290285752,0.002831064867643003
7.0,18.0,kalman-gm,postGOLoss,30,0.0018815672675994355,-0.0003424138441175546,0.0042863951039850265
7.0,18.0,kalman-gm,postGODeviation,30,0.005173465750622832,0.00365389352973602,0.0069663460608631435
7.0,18.0,kalman-gm,eventPairDistanceIncrease,30,2.4153489129632607e-05,1.1587294064429563e-05,3.9241433383628225e-05
7.0,18.0,kalman-gm,eventPairDistanceDeviation,30,3.03643351924982e-05,1.9930654848160697e-05,4.372764531618848e-05
7.0,18.0,kalman-gm,postPairDistanceIncrease,30,0.0002886875924068066,0.00017851219819439536,0.0004170393819823095
7.0,18.0,kalman-gm,postPairDistanceDeviation,30,0.0003053478789556698,0.00020196974670405368,0.0004285772659132884
7.0,18.0,kalman-gm,meanPredictionError,30,0.0860777687125545,0.07325610895415974,0.09938925239161732
7.0,18.0,kalman-gm,p90PredictionError,30,0.1250646278595337,0.1010341642698466,0.15218911908506352
7.0,18.0,kalman-gm,recoveryTime,30,1.2,1.2,1.2
7.0,18.0,mean,eventGOLoss,30,0.00044805708044267604,-0.00047697172516218765,0.0013640825412845584
7.0,18.0,mean,eventGODeviation,30,0.0024210599419479647,0.0019584426874390427,0.0029196360780541584
7.0,18.0,mean,postGOLoss,30,0.001177967982483707,-0.0018985753126406907,0.0039271233828286406
7.0,18.0,mean,postGODeviation,30,0.006316059606290374,0.004482560392518297,0.008392079356655008
7.0,18.0,mean,eventPairDistanceIncrease,30,9.475267704079948e-06,-3.0034940102476498e-06,2.4519117564969028e-05
7.0,18.0,mean,eventPairDistanceDeviation,30,2.4727142229845152e-05,1.4553372788376677e-05,3.6811461192608216e-05
7.0,18.0,mean,postPairDistanceIncrease,30,4.397901767263183e-05,-5.353240942461783e-05,0.00015202929127865663
7.0,18.0,mean,postPairDistanceDeviation,30,0.000210694694412121,0.00014270270069275127,0.0002880877726669521
7.0,18.0,mean,meanPredictionError,30,0.09475385858485831,0.08394409586185611,0.10636547636336875
7.0,18.0,mean,p90PredictionError,30,0.13786524304657896,0.12619180146838957,0.1508589129887468
7.0,18.0,mean,recoveryTime,30,1.2,1.2,1.2
7.0,18.0,none,eventGOLoss,30,0.0009426197166872849,-0.0038185606853131287,0.00574127455802384
7.0,18.0,none,eventGODeviation,30,0.011035101633703184,0.008420076627969925,0.013946345315611047
7.0,18.0,none,postGOLoss,30,-0.0013411837831254977,-0.012011822527150029,0.00916466250348737
7.0,18.0,none,postGODeviation,30,0.024947275936613406,0.019349435458434365,0.031207339067251327
