hiddenCount,T,mode,metric,n,mean,ci95
7,10.2,none,postGODeviation,30,0.0144662122395643,0.00331292617363509
7,10.2,none,eventPairDistanceIncrease,30,9.44707425261355e-05,2.88861666392935e-05
7,10.2,none,eventPairDistanceDeviation,30,9.76398971327726e-05,2.74769847290607e-05
7,10.2,none,postPairDistanceIncrease,30,0.000712951446963653,0.000270107800615424
7,10.2,none,postPairDistanceDeviation,30,0.000803227942819148,0.000234323038726623
7,10.2,none,recoveryTime,30,1.2,0
7,10.2,hold,eventGOLoss,30,0.000315415771515467,0.000754777452192607
7,10.2,hold,eventGODeviation,30,0.0017471412220747,0.000476655535875717
7,10.2,hold,postGOLoss,30,0.000550312748138439,0.0009652818618611
7,10.2,hold,postGODeviation,30,0.00235039673327527,0.000662449333172672
7,10.2,hold,eventPairDistanceIncrease,30,1.04327923681621e-05,4.79257430424439e-06
7,10.2,hold,eventPairDistanceDeviation,30,1.21159383143246e-05,4.25059339210384e-06
7,10.2,hold,postPairDistanceIncrease,30,0.000122408944404989,4.76263133970233e-05
7,10.2,hold,postPairDistanceDeviation,30,0.000136342186240499,4.2342211605361e-05
7,10.2,hold,meanPredictionError,30,0.0606343855522541,0.00916941156266781
7,10.2,hold,p90PredictionError,30,0.109280403873993,0.0199993411120842
7,10.2,hold,recoveryTime,30,1.2,0
7,10.2,mean,eventGOLoss,30,4.83281528387768e-05,0.000438836015451285
7,10.2,mean,eventGODeviation,30,0.00104172362213854,0.000276751029939973
7,10.2,mean,postGOLoss,30,0.000755447155162996,0.00144869609567401
7,10.2,mean,postGODeviation,30,0.00252039343213448,0.00118927382307734
7,10.2,mean,eventPairDistanceIncrease,30,2.40097414218736e-06,4.62141064316208e-06
7,10.2,mean,eventPairDistanceDeviation,30,7.47371467941906e-06,3.85496354376203e-06
7,10.2,mean,postPairDistanceIncrease,30,3.29143233345878e-05,4.79479947080663e-05
7,10.2,mean,postPairDistanceDeviation,30,8.00321416035017e-05,4.00587809555326e-05
7,10.2,mean,meanPredictionError,30,0.0555508042643732,0.00685239606834161
7,10.2,mean,p90PredictionError,30,0.0731640796939418,0.00402579844082045
7,10.2,mean,recoveryTime,30,1.2,0
7,10.2,kalman,eventGOLoss,30,-8.8969851972585e-05,0.00046393216465823
7,10.2,kalman,eventGODeviation,30,0.00109443184396872,0.000315076896200416
7,10.2,kalman,postGOLoss,30,1.18394431883758e-06,0.00252509287640921
7,10.2,kalman,postGODeviation,30,0.00372376684829398,0.0021494940348302
7,10.2,kalman,eventPairDistanceIncrease,30,1.6312293601861e-06,4.47737451563299e-06
7,10.2,kalman,eventPairDistanceDeviation,30,7.75201281938648e-06,3.54845054744898e-06
7,10.2,kalman,postPairDistanceIncrease,30,-2.11806543689469e-05,5.72477657219315e-05
7,10.2,kalman,postPairDistanceDeviation,30,0.000108495480810945,4.23358675539777e-05
7,10.2,kalman,meanPredictionError,30,0.0555460937929906,0.00685215605163468
7,10.2,kalman,p90PredictionError,30,0.0731531948103152,0.00401906960073745
7,10.2,kalman,recoveryTime,30,1.2,0
7,10.2,kalman-gm,eventGOLoss,30,-5.43152979631977e-05,0.000458627845369388
7,10.2,kalman-gm,eventGODeviation,30,0.000995561098806785,0.000328850703371261
7,10.2,kalman-gm,postGOLoss,30,0.000808990154297055,0.000942093470680377
7,10.2,kalman-gm,postGODeviation,30,0.00179985132671903,0.000774732498028429
7,10.2,kalman-gm,eventPairDistanceIncrease,30,4.53469486277332e-06,4.13918428028757e-06
7,10.2,kalman-gm,eventPairDistanceDeviation,30,7.70905883424993e-06,3.46598522222603e-06
7,10.2,kalman-gm,postPairDistanceIncrease,30,6.02954177088324e-05,3.70610790883725e-05
7,10.2,kalman-gm,postPairDistanceDeviation,30,8.00954442731417e-05,3.18820801941086e-05
7,10.2,kalman-gm,meanPredictionError,30,0.0499557231722184,0.00843069300313196
7,10.2,kalman-gm,p90PredictionError,30,0.058436072319408,0.0119734260052259
7,10.2,kalman-gm,recoveryTime,30,1.2,0
7,18,none,eventGOLoss,30,0.000942619716687285,0.00488405556364189
7,18,none,eventGODeviation,30,0.0110351016337032,0.00288518812801537
7,18,none,postGOLoss,30,-0.0013411837831255,0.0107974355762995
7,18,none,postGODeviation,30,0.0249472759366134,0.00620285362801748
7,18,none,eventPairDistanceIncrease,30,0.000301419851043613,8.71799343363617e-05
7,18,none,eventPairDistanceDeviation,30,0.00030581760317176,8.51701016327326e-05
7,18,none,postPairDistanceIncrease,30,0.00176217590037811,0.000567678916074661
7,18,none,postPairDistanceDeviation,30,0.00186839336167224,0.000520981933460263
7,18,none,recoveryTime,30,1.82,1.2152
7,18,hold,eventGOLoss,30,0.00130571125964753,0.00125448876676785
7,18,hold,eventGODeviation,30,0.00320349093671847,0.000750087906646069
7,18,hold,postGOLoss,30,0.00191296025759564,0.00261201343269457
7,18,hold,postGODeviation,30,0.00641584663746496,0.0016976639128613
7,18,hold,eventPairDistanceIncrease,30,4.89550648573562e-05,1.83965152919236e-05
7,18,hold,eventPairDistanceDeviation,30,5.23664224806825e-05,1.71353252042967e-05
7,18,hold,postPairDistanceIncrease,30,0.000425330587997908,0.000150991877484368
7,18,hold,postPairDistanceDeviation,30,0.000442911887884428,0.00014425583963147
7,18,hold,meanPredictionError,30,0.10423835577333,0.0153455054435258
7,18,hold,p90PredictionError,30,0.201115900846004,0.0397912492998461
7,18,hold,recoveryTime,30,1.2,0
7,18,mean,eventGOLoss,30,0.000448057080442676,0.000946118799013353
7,18,mean,eventGODeviation,30,0.00242105994194796,0.000497382907685119
7,18,mean,postGOLoss,30,0.00117796798248371,0.00295342760254743
7,18,mean,postGODeviation,30,0.00631605960629037,0.00197750212924644
7,18,mean,eventPairDistanceIncrease,30,9.47526770407995e-06,1.42652044156604e-05
7,18,mean,eventPairDistanceDeviation,30,2.47271422298452e-05,1.17404779421533e-05
7,18,mean,postPairDistanceIncrease,30,4.39790176726318e-05,0.000106753560847538
7,18,mean,postPairDistanceDeviation,30,0.000210694694412121,7.61865764854193e-05
7,18,mean,meanPredictionError,30,0.0947538585848583,0.011416001162896
7,18,mean,p90PredictionError,30,0.137865243046579,0.012680433078126
7,18,mean,recoveryTime,30,1.2,0
7,18,kalman,eventGOLoss,30,0.000203361356109405,0.00121024137854664
7,18,kalman,eventGODeviation,30,0.0028554428925038,0.000733997010089925
7,18,kalman,postGOLoss,30,0.000899877395631392,0.00442645090502185
7,18,kalman,postGODeviation,30,0.00864131538607278,0.00317312186665103
7,18,kalman,eventPairDistanceIncrease,30,-8.95051953105606e-07,1.33687251644554e-05
7,18,kalman,eventPairDistanceDeviation,30,2.76915557488266e-05,8.97109519049841e-06
7,18,kalman,postPairDistanceIncrease,30,-0.000212314215715677,0.000158310643204745
7,18,kalman,postPairDistanceDeviation,30,0.000333705857195622,0.000128560229641793
7,18,kalman,meanPredictionError,30,0.0947198116849884,0.0113912392304436
7,18,kalman,p90PredictionError,30,0.137828015230448,0.0126294210369562
7,18,kalman,recoveryTime,30,1.2,0
7,18,kalman-gm,eventGOLoss,30,0.000710539301558662,0.000877325584621823
7,18,kalman-gm,eventGODeviation,30,0.00225711366705273,0.00054243888702529
