hiddenCount,T,mode,metric,nSeeds,meanDifference,differenceCi95Low,differenceCi95High,meanRelativeReduction,relativeCi95Low,relativeCi95High
7,6.0,kalman,eventGODeviation,30,-0.003441658976256938,-0.004549697893701549,-0.0024447355363321215,0.8584740915369954,0.7819622241120116,0.9103981593070452
7,6.0,kalman,postPairDistanceDeviation,30,-0.0003735860333361556,-0.0005052278291890626,-0.0002639756786512307,0.8958895711452753,0.8347596424415282,0.9382371670214495
7,6.0,kalman,eventGOLoss,30,2.3521699662386134e-05,-0.0017343316213578224,0.0017623328652808445,-1.4808884817964567,-2.884844375155014,1.9408887177136236
7,6.0,kalman,postPairDistanceIncrease,30,-0.00033227587290358935,-0.0004872780452630646,-0.00019306764642871077,0.9752783448513836,0.8970116572744258,1.046839392346901
7,6.0,kalman,meanPredictionError_vs_hold,30,-0.002328333632917443,-0.00715564727163993,0.0026733377696893704,0.0615735684438411,-0.07286392964823762,0.17596304965973392
7,6.0,kalman-gm,eventGODeviation,30,-0.0034341886496504445,-0.004525824866294203,-0.002396025813240471,0.8566107221877263,0.7645542526006943,0.9155168402521433
7,6.0,kalman-gm,postPairDistanceDeviation,30,-0.00038475799638123983,-0.0005098168818671714,-0.000275725758453143,0.9226808435382272,0.8876603402694059,0.9514865234988404
7,6.0,kalman-gm,eventGOLoss,30,-5.939759755266354e-05,-0.001846249090095848,0.0016739154206924169,3.7395774678128704,-1.894348051097021,3.0494297144788227
7,6.0,kalman-gm,postPairDistanceIncrease,30,-0.00032553498134093494,-0.00047845090653780343,-0.00018874392946564573,0.9554928409909942,0.8977826313638415,1.0033389980433796
7,6.0,kalman-gm,meanPredictionError_vs_hold,30,-0.006164895687085133,-0.010389633975251885,-0.001912973475617456,0.16303274632606612,0.04616023734566885,0.26291182921793443
7,10.2,hold,eventGODeviation,30,-0.004687044196702958,-0.006502224612468201,-0.0029672622798729716,0.7284596093585041,0.5963863062566369,0.8145763618640937
7,10.2,hold,postPairDistanceDeviation,30,-0.0006668857565786493,-0.000891013863412058,-0.0004611467369708749,0.8302571673963826,0.7723537446771921,0.8746360643096854
7,10.2,hold,eventGOLoss,30,0.0003527735719911416,-0.002458044897825762,0.0031461309784115927,-9.443103381336796,-7.5655978482425965,1.6478784315275712
7,10.2,hold,postPairDistanceIncrease,30,-0.0005905425025586633,-0.0008476017839735515,-0.00034010685034877784,0.8283067592802994,0.7378008561182895,0.8873928084941562
7,10.2,hold,meanPredictionError_vs_hold,30,0.0,0.0,0.0,0.0,0.0,0.0
7,10.2,mean,eventGODeviation,30,-0.005392461796639121,-0.007122894673103384,-0.003807463733359115,0.8380954923837985,0.7680566431092918,0.8872414489936962
7,10.2,mean,postPairDistanceDeviation,30,-0.0007231958012156464,-0.0009775808975336056,-0.0005095098787427784,0.9003618557857848,0.8403774781867436,0.9451614957848086
7,10.2,mean,eventGOLoss,30,8.568595331445065e-05,-0.0027261752369839437,0.0028017847733642393,-2.293656270535694,-3.324311632148923,1.8397023046341971
7,10.2,mean,postPairDistanceIncrease,30,-0.0006800371236290649,-0.0009457046648789594,-0.0004347805336671658,0.9538337098903934,0.8816536611245172,1.0156170847199846
7,10.2,kalman,eventGODeviation,30,-0.005339753574808941,-0.0071109525176216255,-0.003756446242276292,0.8299035895399115,0.749377153227151,0.883986784965215
7,10.2,kalman,postPairDistanceDeviation,30,-0.0006947324620082026,-0.0009499146299481012,-0.0004735474681627503,0.8649256642763812,0.7801168914536972,0.9212107680046574
7,10.2,kalman,eventGOLoss,30,-5.1612051496911146e-05,-0.0027272225707785564,0.0025825637787744394,1.3815602321265972,-1.767007030363589,3.5649514574128003
7,10.2,kalman,postPairDistanceIncrease,30,-0.0007341321013325995,-0.0010006476634595498,-0.0004959307951793355,1.0297084106626784,0.9526363335227134,1.1319783284784262
7,10.2,kalman,meanPredictionError_vs_hold,30,-0.005088291759263481,-0.011848704946243528,0.0016444970178375882,0.08391759416574691,-0.027850369671367323,0.17790899989849016
7,10.2,kalman-gm,eventGODeviation,30,-0.0054386243199708775,-0.007178929286458536,-0.003778909553945585,0.8452700638838728,0.7593307014984829,0.8997257530436804
7,10.2,kalman-gm,postPairDistanceDeviation,30,-0.0007231324985460063,-0.0009481157071098938,-0.0005194152733748514,0.9002830454428355,0.8603792116846809,0.9319307713384216
7,10.2,kalman-gm,eventGOLoss,30,-1.6957497487523857e-05,-0.0028899694075325013,0.0027759321515230732,0.4539211964196324,-2.0510171450757495,3.0707939670407085
7,10.2,kalman-gm,postPairDistanceIncrease,30,-0.0006526560292548203,-0.0009089268643518264,-0.00041167717377911414,0.915428437706914,0.8595257063153995,0.9601553979822258
7,10.2,kalman-gm,meanPredictionError_vs_hold,30,-0.010678662380035743,-0.01649090323415775,-0.004713895545922336,0.1761156195906857,0.08128584263225343,0.2599970475402182
7,18.0,hold,eventGODeviation,30,-0.007831610696984712,-0.010671766843818688,-0.0051418925704082245,0.7096999155010558,0.6074911153400403,0.7854842882937924
7,18.0,hold,postPairDistanceDeviation,30,-0.0014254814737878127,-0.001917509643505449,-0.000997796258471031,0.7629450537717523,0.6844202503891279,0.8290352478337105
7,18.0,hold,eventGOLoss,30,0.00036309154296024904,-0.004457866233235145,0.005244714020614881,-0.38519408891242723,-17.204393746503083,0.9183556766318025
7,18.0,hold,postPairDistanceIncrease,30,-0.0013368453123802013,-0.001862206088387756,-0.0008702552322967617,0.7586332965360353,0.6708688250655798,0.8275237648578565
7,18.0,hold,meanPredictionError_vs_hold,30,0.0,0.0,0.0,0.0,0.0,0.0
7,18.0,mean,eventGODeviation,30,-0.008614041691755218,-0.011513826367718758,-0.005934943068262457,0.7806037477213972,0.6972487090756826,0.8367197339543689
7,18.0,mean,postPairDistanceDeviation,30,-0.0016576986672601198,-0.0022166449847716404,-0.0011932987523316453,0.8872321542485325,0.8286543133431958,0.9307625937163341
7,18.0,mean,eventGOLoss,30,-0.0004945626362446091,-0.005493202404902156,0.004348968415471704,0.5246682490184752,-6.439035903876343,1.3006732226648468
7,18.0,mean,postPairDistanceIncrease,30,-0.0017181968827054777,-0.002286250760411504,-0.0012092944399748609,0.9750427765677676,0.9131427577253359,1.0361512935195074
7,18.0,kalman,eventGODeviation,30,-0.008179658741199379,-0.011422378897978043,-0.0053836725140918905,0.7412400005648548,0.6202909410742214,0.8243920616312826
7,18.0,kalman,postPairDistanceDeviation,30,-0.001534687504476618,-0.002127816421903279,-0.0010422185819660924,0.8213942181335142,0.7151670838600418,0.8868065131845941
7,18.0,kalman,eventGOLoss,30,-0.0007392583605778796,-0.005626536863750833,0.004224077189715984,0.784259386357743,-4.247328294567614,2.5624911907962256
7,18.0,kalman,postPairDistanceIncrease,30,-0.0019744901160937862,-0.0025527318900011686,-0.0014456450693865976,1.1204841217441008,1.0403862255530274,1.2475566504936293
7,18.0,kalman,meanPredictionError_vs_hold,30,-0.009518544088341909,-0.01931795749915618,-7.187010991748164e-05,0.09131517873363527,0.0006659565768099671,0.17148748283683804
7,18.0,kalman-gm,eventGODeviation,30,-0.008777987966650457,-0.011697453982081916,-0.006130070314446654,0.7954605456320314,0.7134482266381506,0.8527690193843924
7,18.0,kalman-gm,postPairDistanceDeviation,30,-0.0015630454827165708,-0.002063992342043004,-0.0011096951789454112,0.8365719525558692,0.7677689335480458,0.8912885557747745
7,18.0,kalman-gm,eventGOLoss,30,-0.00023208041512862227,-0.005183277040970152,0.004444115183556601,0.24620789383043992,-8.385042837411172,1.0244076519125531
7,18.0,kalman-gm,postPairDistanceIncrease,30,-0.0014734883079713032,-0.002001596538111929,-0.0009727971899831829,0.8361754962459407,0.7551455389804949,0.895464812905178
7,18.0,kalman-gm,meanPredictionError_vs_hold,30,-0.018160587060775817,-0.025665231741893623,-0.010656130721826595,0.17422173369912516,0.10631022098659826,0.23290596809737701
