seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,postGOLoss,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,postPairDistanceIncrease,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
201,11,0.733333333333333,3,10,mean,0.255017339343908,-7.36632409024107e-06,0.000644547706293019,1.00004263486204,0.172131700884148,-5.2786986337594e-09,-1.62669602287188e-05,0.180477235773431,15,4,0.466097196321721,0.0156119586029677,0.0265040551714923,2200,1.2
202,11,0.733333333333333,3,10,mean,0.265746187490233,-0.000135375127463716,-0.00204030080886346,1.00051420854226,0.258867349515969,3.53364096372655e-08,6.63936815007432e-05,0.180477235773431,15,4,0.338911577362639,0.0333707895551423,0.0261067534496724,2200,1.2
201,11,0.733333333333333,3,10,none,0.255017339343908,0.00132471949932486,0.0246436162789427,0.992332779226063,0.168580695901216,-1.48553082432001e-05,-0.000260838055537057,0.048127262872915,4,4,0.650297456246351,NaN,NaN,0,1.2
202,11,0.733333333333333,3,10,none,0.265746187490233,0.00277797475885794,-0.000986947375947149,0.989448147691854,0.258109907879039,3.38679201056236e-06,9.69794539926522e-05,0.048127262872915,4,4,0.472503329081157,NaN,NaN,0,1.2
201,11,0.733333333333333,10.2,34,hold,0.255017339343908,-0.00176142872098512,-0.000117037640152667,1.01018609798618,0.171470545704654,2.14005978783855e-05,0.000177413181541238,0.180477235773431,15,4,0.468523639828595,0.0510360242339417,0.100847990189642,7480,1.2
202,11,0.733333333333333,10.2,34,hold,0.265746187490233,0.00126509265362557,0.00393630698633887,0.995206333074569,0.25867572035931,1.67768430174053e-05,0.00016888266179957,0.180477235773431,15,4,0.341589971856576,0.0601716282818056,0.0968401390138713,7480,1.2
201,11,0.733333333333333,10.2,34,kalman,0.255017339343908,0.00452970425395788,0.032825769655494,0.973805348561927,0.157491606753155,-1.07077563540345e-05,-0.000219522988428143,0.180477235773431,15,4,0.466174134508984,0.0486241565234004,0.0701578292875569,7480,1.2
202,11,0.733333333333333,10.2,34,kalman,0.265746187490233,0.00122463312975333,0.00872321832282438,0.99535964159379,0.256060835906666,1.54394048533627e-05,0.000203631284217277,0.180477235773431,15,4,0.331348680555841,0.0641389507051584,0.06764695317354,7480,1.2
201,11,0.733333333333333,10.2,34,kalman-gm,0.255017339343908,0.00291451093567859,0.0254223339434747,0.983145787496867,0.161727532187268,5.89646952233474e-06,2.03628316260382e-05,0.180477235773431,15,4,0.466810279567412,0.0301001775766702,0.0487407669327586,7480,1.2
202,11,0.733333333333333,10.2,34,kalman-gm,0.265746187490233,-0.00264191505819669,-0.00828818671744093,1.01001069826624,0.258850414124259,2.55450743161457e-05,0.000424999328480633,0.180477235773431,15,4,0.332664078188085,0.0609878918874034,0.0589837037344818,7480,1.2
