policy,strengthMode,k,trials,successes,successRate,wilsonLower95,wilsonUpper95,meanGO,meanGOPasses,meanGOWilsonLower95,meanGOWilsonUpper95,meanGOPairedDifference,meanLO,meanLOPasses,meanLOWilsonLower95,meanLOWilsonUpper95,meanLOPairedDifference,meanPairDistanceNorm,meanPairDistanceNormPasses,meanPairDistanceNormWilsonLower95,meanPairDistanceNormWilsonUpper95,meanPairDistanceNormPairedDifference,strictJointSuccesses,isotonicSuccessRate
balanced,original,11,100,0,0.0,0,0.03699480747600191,0.23516162503490987,15,0.09305903191162297,0.23283733332157835,-0.41935191165901864,0.3950024531066108,8,0.04109296948581091,0.14998266879403072,-0.3913132715047279,0.37701081830380584,0,0,0.03699480747600191,0.2202043989525145,0,0.0
balanced,original,12,100,5,0.05,0.02154336145631356,0.11175196527208817,0.2900062338518781,37,0.28182212569509163,0.46779652424866885,-0.36450730284205035,0.4605893839831557,22,0.15001174503655804,0.3107053471500031,-0.32572634062818306,0.3439779843157168,4,0.015663050551848016,0.09837217232607373,0.18717156496442547,4,0.05
balanced,original,13,100,34,0.34,0.25461379497543,0.43722454341689065,0.4359070949168776,62,0.5220957382071033,0.7090255079986562,-0.21860644177705085,0.5883744953024603,59,0.4920125056109662,0.6813284290433533,-0.19794122930887834,0.2821088404385347,27,0.1926946091766482,0.3643230022623127,0.12530242108724338,22,0.34
balanced,original,14,100,59,0.59,0.4920125056109662,0.6813284290433533,0.4932217407030279,74,0.6462882736813838,0.8159542187301354,-0.16129179599090063,0.6536682833743691,74,0.6462882736813838,0.8159542187301354,-0.1326474412369696,0.23649351765400448,50,0.40382982859014716,0.5961701714098528,0.07968709830271314,48,0.59
balanced,original,15,100,77,0.77,0.6784543514317231,0.841568452531236,0.5507343929732564,78,0.6892946528499969,0.849988254963442,-0.10377914372067201,0.6971806777885935,80,0.7111690380734977,0.8666340774409013,-0.08913504682274524,0.2076130944344108,72,0.6251178763865427,0.7986044083240164,0.0508066750831195,64,0.77
balanced,original,16,100,85,0.85,0.7671626666784216,0.906940968088377,0.6468726630533702,92,0.8500173312059693,0.9589070305141891,-0.007640873640558267,0.7695071637452872,93,0.8625032899347025,0.965681175635936,-0.016808560866051595,0.17909876666487354,78,0.6892946528499969,0.849988254963442,0.02229234731358223,75,0.85
balanced,original,17,100,93,0.93,0.8625032899347025,0.965681175635936,0.6513034894313938,91,0.8377362530335634,0.9519280048361151,-0.0032100472625346587,0.7901878322643524,96,0.9016278276739262,0.984336949448152,0.003872107653013643,0.15957530888826668,95,0.8882480347279118,0.9784566385436864,0.0027688895369753605,89,0.93
balanced,original,18,100,97,0.97,0.915479219195973,0.9897456617765851,0.6787590935545076,97,0.915479219195973,0.9897456617765851,0.02424555686057906,0.8038507457576645,97,0.915479219195973,0.9897456617765851,0.017535021146325724,0.14766542061714494,95,0.8882480347279118,0.9784566385436864,-0.009140998734146387,94,0.965
balanced,original,19,100,96,0.96,0.9016278276739262,0.984336949448152,0.6545135366939285,95,0.8882480347279118,0.9784566385436864,0.0,0.7863157246113387,95,0.8882480347279118,0.9784566385436864,0.0,0.1568064193512913,95,0.8882480347279118,0.9784566385436864,0.0,88,0.965
nearest,fixed-total,0,100,0,0.0,0,0.03699480747600191,0.2039686762347308,20,0.1333659225590988,0.28883096192650237,-0.45054486045919767,0.3681768293357537,2,0.005501852234968185,0.07001316294199365,-0.418138895275585,0.38249942222629324,0,0,0.03699480747600191,0.2256930028750019,0,0.0
nearest,fixed-total,1,100,0,0.0,0,0.03699480747600191,0.32657446111124006,49,0.3942183009238615,0.5865215952256586,-0.3279390755826885,0.5851700492368191,72,0.6251178763865427,0.7986044083240164,-0.20114567537451955,0.34896990266811473,0,0,0.03699480747600191,0.19216348331682342,0,0.0
nearest,fixed-total,2,100,1,0.01,0.0017673865655472645,0.0544875247609346,0.47034947447141606,71,0.6146092505999207,0.7898529302601586,-0.18416406222251241,0.7624610549157874,98,0.9299868370580063,0.9944981477650318,-0.02385466969555134,0.32211486921135785,0,0,0.03699480747600191,0.16530844986006654,0,0.01
nearest,fixed-total,3,100,14,0.14,0.08526265754464905,0.22137360383807236,0.5359004327592324,79,0.7001985069803768,0.8583445046835422,-0.11861310393469611,0.8584510299648739,100,0.9630051925239981,0.9999999999999999,0.07213530535353518,0.29464917120517525,8,0.04109296948581091,0.14998266879403072,0.13784275185388395,7,0.14
nearest,fixed-total,4,100,40,0.4,0.3093997461136028,0.4979992153815976,0.535114949564825,85,0.7671626666784216,0.906940968088377,-0.11939858712910352,0.8675455344017453,98,0.9299868370580063,0.9944981477650318,0.08122980979040662,0.2752685250602371,20,0.1333659225590988,0.28883096192650237,0.11846210570894576,18,0.4
nearest,fixed-total,5,100,53,0.53,0.4328868313724773,0.6248934801789626,0.6005946093240159,85,0.7671626666784216,0.906940968088377,-0.053918927369912655,0.8447846745019147,97,0.915479219195973,0.9897456617765851,0.058468949890575994,0.2499666094309533,43,0.3373313900052838,0.5278478830413564,0.093160190079662,37,0.53
nearest,fixed-total,6,100,67,0.67,0.5730516033971139,0.7543701620610456,0.5892666562632188,87,0.7901947810519012,0.9224290614158575,-0.06524688043070963,0.8321689484271644,96,0.9016278276739262,0.984336949448152,0.04585322381582565,0.24245992322849985,54,0.44264685393523856,0.6343935614666815,0.08565350387720855,48,0.67
nearest,fixed-total,7,100,70,0.7,0.6041496156718804,0.7810524613377188,0.5950564847483901,83,0.7445181876635703,0.8910652394022684,-0.05945705194553843,0.7719518753976689,87,0.7901947810519012,0.9224290614158575,-0.014363849213669901,0.21561190241589798,68,0.5833719774632081,0.7633098918454312,0.05880548306460666,57,0.7
nearest,fixed-total,8,100,79,0.79,0.7001985069803768,0.8583445046835422,0.578333540935421,86,0.7786263961619276,0.914737342455351,-0.07617999575850751,0.7781292391291017,92,0.8500173312059693,0.9589070305141891,-0.008186485482237014,0.20787524147500364,76,0.6676748127670786,0.8330878873454004,0.05106882212371232,65,0.79
nearest,fixed-total,9,100,87,0.87,0.7901947810519012,0.9224290614158575,0.5457205849259928,81,0.7222097592919214,0.8748534600729574,-0.10879295176793564,0.7219220097687027,83,0.7445181876635703,0.8910652394022684,-0.06439371484263604,0.19369390262960723,88,0.8018773199709163,0.9300066263473222,0.036887483278315925,67,0.87
nearest,fixed-total,10,100,91,0.91,0.8377362530335634,0.9519280048361151,0.5605658655245604,88,0.8018773199709163,0.9300066263473222,-0.09394767116936806,0.726961850307488,93,0.8625032899347025,0.965681175635936,-0.059353874303850765,0.19370731408366418,86,0.7786263961619276,0.914737342455351,0.03690089473237287,72,0.9066666666666667
