seed,policy,strengthMode,k,blockSize,nBlocks,meanGO,meanLO,meanPairDistance,passBlocks,passFraction,durationWeightedPass
51,random,fixed-total,7,300,1,0.446052426166374,0.517012699981849,0.0705581601334225,0,1,0
51,random,fixed-total,7,300,1,0.50660933066448,0.631692128387057,0.110729914761292,1,1,1
51,random,fixed-total,7,300,1,0.621634439422216,0.711909073324588,0.141148926378479,1,1,1
51,random,fixed-total,7,300,1,0.596366582559183,0.730387156532369,0.113266829840142,1,1,1
51,random,fixed-total,7,300,1,0.559141041829897,0.719278309279789,0.0909167391763718,1,1,1
51,random,fixed-total,15,100,1,0.430115032492472,0.590126927661053,0.257192710894328,0,1,0
51,random,fixed-total,15,100,1,0.514968449707658,0.68397192900914,0.275233020866301,0,1,0
51,random,fixed-total,15,100,1,0.610302021881258,0.755247603472545,0.290189675952922,0,1,0
51,random,fixed-total,15,100,1,0.631546954738639,0.771647875603127,0.296415380980875,0,1,0
51,random,fixed-total,15,100,1,0.647193525049464,0.785285976329304,0.295765942104018,0,1,0
51,random,fixed-total,15,100,1,0.655679944599313,0.76488105942171,0.29159195424416,0,1,0
51,random,fixed-total,15,100,1,0.606908196583409,0.702407701456459,0.281183898822823,0,1,0
51,random,fixed-total,15,100,1,0.539310467465234,0.706945279393757,0.263471171682568,0,1,0
51,random,fixed-total,15,100,1,0.484297630605712,0.686217028181689,0.241327949547968,1,1,1
51,random,fixed-total,15,100,1,0.498497435149205,0.669690992944902,0.2184807193753,1,1,1
51,random,fixed-total,15,100,1,0.472035900397752,0.665203788290171,0.193714556465523,1,1,1
51,random,fixed-total,15,100,1,0.397419767165273,0.634248562002661,0.167765861741836,1,1,1
51,random,fixed-total,15,100,1,0.393087607889109,0.679164379225446,0.149639856895012,1,1,1
51,random,fixed-total,15,100,1,0.411052604917325,0.654419344244529,0.139392034753181,1,1,1
51,random,fixed-total,15,100,1,0.456664195284265,0.643779618725532,0.144376832603612,1,1,1
51,random,fixed-total,15,100,1,0.466517318682325,0.653687256414409,0.16498123772602,1,1,1
51,random,fixed-total,15,100,1,0.410987294069165,0.663183476598549,0.191859585945969,1,1,1
51,random,fixed-total,15,100,1,0.401980278301718,0.66933779956008,0.221196342183019,1,1,1
51,random,fixed-total,15,100,1,0.370884320370662,0.703214023400862,0.251458040268778,0,1,0
51,random,fixed-total,15,100,1,0.358112850365695,0.843732818043878,0.278693370092508,0,1,0
51,random,fixed-total,15,300,1,0.518461834693796,0.676448820047579,0.274205135904517,0,1,0
51,random,fixed-total,15,300,1,0.644806808129139,0.773938303784713,0.294591092443018,0,1,0
51,random,fixed-total,15,300,1,0.543505431551452,0.698523336343968,0.261994340017786,0,1,0
51,random,fixed-total,15,300,1,0.455984367570743,0.656381114412578,0.19332037919422,1,1,1
51,random,fixed-total,15,300,1,0.420268136030233,0.659121114065168,0.144469574750602,1,1,1
51,random,fixed-total,15,300,1,0.426494963684403,0.66206951085768,0.192679055285003,1,1,1
51,random,fixed-total,15,300,1,0.364498585368178,0.77347342072237,0.265075705180643,0,1,0
51,balanced,fixed-total,15,100,1,0.42352932387246,0.613555612090837,0.200695842281972,1,1,1
51,balanced,fixed-total,15,100,1,0.456888220752393,0.499658889512869,0.192933090414184,0,1,0
51,balanced,fixed-total,15,100,1,0.546731665976191,0.51171764391644,0.194728703357331,0,1,0
51,balanced,fixed-total,15,100,1,0.580766759443381,0.625456789483725,0.208089143079104,1,1,1
51,balanced,fixed-total,15,100,1,0.58193104271826,0.699336506354937,0.227112141356714,1,1,1
51,balanced,fixed-total,15,100,1,0.580265706923699,0.792141815539325,0.247629015664136,0,1,0
51,balanced,fixed-total,15,100,1,0.629409871255649,0.829876140853868,0.265013853561133,0,1,0
51,balanced,fixed-total,15,100,1,0.614231427289307,0.788723455594657,0.272963856573467,0,1,0
51,balanced,fixed-total,15,100,1,0.571724542502635,0.72963269502769,0.267462705902385,0,1,0
51,balanced,fixed-total,15,100,1,0.514704204635125,0.703208255447761,0.251243265037252,0,1,0
51,balanced,fixed-total,15,100,1,0.483534328735247,0.69130780710005,0.231790308211677,1,1,1
51,balanced,fixed-total,15,100,1,0.430903157167836,0.65787986269314,0.212132945477047,1,1,1
51,balanced,fixed-total,15,100,1,0.354358810558572,0.653414901798593,0.188827511755026,1,1,1
51,balanced,fixed-total,15,100,1,0.232710876105925,0.592050516032047,0.16246897010527,0,1,0
51,balanced,fixed-total,15,100,1,0.109625650370649,0.51509233215571,0.146882262459341,0,1,0
51,balanced,fixed-total,15,100,1,0.155825271166104,0.500946805082402,0.148232818845361,0,1,0
51,balanced,fixed-total,15,100,1,0.281531349944579,0.444370747995455,0.159577756274919,0,1,0
51,balanced,fixed-total,15,100,1,0.34124130678667,0.517700953937422,0.169107239568319,0,1,0
51,balanced,fixed-total,15,100,1,0.438916009880997,0.538883580394322,0.174937656204321,1,1,1
51,balanced,fixed-total,15,100,1,0.5243598992782,0.614302675585703,0.175392704597847,1,1,1
51,balanced,fixed-total,15,300,1,0.475716403533682,0.541644048506715,0.196119212017829,1,1,1
51,balanced,fixed-total,15,300,1,0.58098783636178,0.705645037125996,0.227610100033318,1,1,1
51,balanced,fixed-total,15,300,1,0.605121947015863,0.782744097158738,0.268480138678995,0,1,0
51,balanced,fixed-total,15,300,1,0.476380563512736,0.684131975080317,0.231722172908658,1,1,1
51,balanced,fixed-total,15,300,1,0.232231779011715,0.586852583328783,0.166059581439879,0,1,0
51,balanced,fixed-total,15,300,1,0.259532642632451,0.48767283567176,0.158972604896199,0,1,0
51,balanced,fixed-total,15,300,1,0.481637954579599,0.576593127990012,0.175165180401084,1,1,1
52,all,original,19,100,1,0.482298213113224,0.745428074252584,0.0709046662902334,1,1,1
52,all,original,19,100,1,0.441939616960725,0.661074313049873,0.0633168877218797,1,1,1
52,all,original,19,100,1,0.457719473607667,0.854107884271847,0.0889246272349844,1,1,1
52,all,original,19,100,1,0.48708637128227,0.758486825172435,0.118089093189472,1,1,1
52,all,original,19,100,1,0.466862915769709,0.81640625609096,0.150159205463523,1,1,1
52,all,original,19,100,1,0.495054989653541,0.81015355569312,0.186703667879483,1,1,1
52,all,original,19,100,1,0.579975939668243,0.745137130996774,0.218220744183863,1,1,1
52,all,original,19,100,1,0.620466701247434,0.739811631892812,0.239748978463973,1,1,1
52,all,original,19,100,1,0.659955875815877,0.769143001889412,0.253485393707057,0,1,0
52,all,original,19,100,1,0.651620911610573,0.78870045516516,0.264052533798336,0,1,0
52,all,original,19,100,1,0.648446936713199,0.827640214652001,0.271736036599345,0,1,0
52,all,original,19,100,1,0.637458609897091,0.846852814453439,0.27334293148959,0,1,0
52,all,original,19,100,1,0.58252812294457,0.849917366046804,0.267009228671664,0,1,0
52,all,original,19,100,1,0.523581382662253,0.804133969142436,0.250375760977362,0,1,0
52,all,original,19,100,1,0.437036309574043,0.764590022229182,0.225523081028995,1,1,1
52,all,original,19,100,1,0.408281220493944,0.772672790977252,0.190235894000952,1,1,1
52,all,original,19,100,1,0.363771866285622,0.822721568011769,0.153026944380961,1,1,1
52,all,original,19,100,1,0.398676250886654,0.729632071605845,0.118119316252121,1,1,1
52,all,original,19,100,1,0.32311958044791,0.577808783805744,0.0890520765405024,0,1,0
52,all,original,19,100,1,0.199139380704976,0.617046591585289,0.0873796867508673,0,1,0
