profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
quick,12,40,400,2,1,balanced,fixed-total,0.488706334933541,0.512212797580011,0.380334747069409,0.117136857522729,0.22,11,1,0,1,0.218375464035354,0.628062978009914,0.636407958560501,0.333333333333333,-4.75151602091772e-17
quick,12,40,400,2,3,random,original,0.628922464187875,0.733786436885326,0.386319013311789,0.171667745657284,0.06,11,3,0.393003649540018,0.521988250329125,0.0292939004211786,0.637037887338141,0.637260040975713,1,3.13764022052836
quick,12,40,400,2,3,random,fixed-total,0.695452211500669,0.730876321414572,0.374958684011206,0.158729934829262,0.22,11,3,0.385379787738557,0.53304572341105,0.110237849688553,0.609591785463732,0.635539645250696,1,3.13764022052836
quick,12,40,400,2,3,nearest,original,0.582550703298333,0.638781568679573,0.387658319934139,0.172384358411483,0.06,11,3,0.415736024257467,0.479671077692576,0.0304475485360616,0.634589969163468,0.637111033379926,1,0.827955732839874
quick,12,40,400,2,3,nearest,fixed-total,0.639634498519905,0.630321551330344,0.37629174876905,0.151442486032154,0.22,11,3,0.398257846668587,0.499036187726569,0.12417580075887,0.616100504782732,0.635659930211327,1,0.724209546803065
quick,12,40,400,2,3,balanced,original,0.529720482959844,0.610869839671877,0.388064391450179,0.173311381287257,0.06,11,3,0.530395358798697,0.273966664578339,0.0200563898824075,0.631905180721035,0.636947324600722,1,1.44607251084741
quick,12,40,400,2,3,balanced,fixed-total,0.443150685156161,0.511158114720464,0.385520413050173,0.16731727673813,0.22,11,3,0.535764632033546,0.264042038237785,0.0734557336284169,0.613853099756912,0.635846383239042,1,1.31299470982682
quick,12,40,400,2,5,random,original,0.596120585656818,0.711764328063336,0.385834707320897,0.170571592283963,0.1,11,5,0.547451845513146,0.401491023658165,0.0415942265877859,0.629220547553961,0.636783615839117,1,5.27808418954285
quick,12,40,400,2,5,random,fixed-total,0.627806925058421,0.712834591028973,0.38021751269373,0.162461505827631,0.22,11,5,0.54863537162692,0.395958258562632,0.0926976661459102,0.604955962830541,0.635281605172738,1,5.27808418954285
quick,12,40,400,2,5,nearest,original,0.530673650636199,0.59934692926951,0.386728942937985,0.170882837423008,0.1,11,5,0.561615188213551,0.40236924684183,0.0428488707140384,0.629072789939074,0.636774338562692,1,2.36452267483489
