profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
n20-final,20,100,8000,1,10,balanced,fixed-total,0.575678566241513,0.763921507578982,0.126973471749388,0.0445419434828745,0.227999999999998,19,10,0.621700015560355,0.461541134630973,0.0960996342070157,0.617361283376962,1.58947052665853,1,8.11195548914857
n20-final,20,100,8000,1,10,balanced,original,0.11281838254159,0.333825728496905,0.381329867637246,0.119423483690385,0.119999999999999,19,10,0.801263368528122,0.151965999515169,0.0290893277598508,0.623957028513529,1.59102676971197,1,9.35812486462059
n20-final,20,100,8000,1,10,nearest,fixed-total,0.8292123232465,0.918727081979376,0.128182101912677,0.0197670474038443,0.227999999999998,19,10,0.479059336694707,0.591292373247085,0.126867130653537,0.615679141920508,1.58866468629069,1,2.852951953086
n20-final,20,100,8000,1,10,nearest,original,0.517867625835373,0.687882295117401,0.277464611784347,0.066592885440662,0.119999999999999,19,10,0.545615516631242,0.555972100980742,0.059843317106395,0.625326465480222,1.59098155459603,1,5.04376959775979
n20-final,20,100,8000,1,10,random,fixed-total,0.706740986898264,0.792917858313184,0.102530197776426,0.0292066917766018,0.227999999999998,19,10,0.483853113294785,0.595079356064096,0.140757819281267,0.617842096807035,1.58922399674365,1,10.4476364386502
n20-final,20,100,8000,1,10,random,original,0.663093564813894,0.725215336889254,0.336358675160227,0.0874335088917267,0.119999999999999,19,10,0.629555977089446,0.377618220420493,0.0526210053842277,0.623231239189556,1.59082003711479,1,10.4476364386502
n20-final,20,100,8000,1,11,balanced,fixed-total,0.626027717925151,0.772782887210091,0.119777409245455,0.0349406133463969,0.227999999999998,19,11,0.603570822271533,0.500593019048113,0.0975033946511484,0.616373412727613,1.58935069023486,1,9.71617225020794
n20-final,20,100,8000,1,11,balanced,original,0.201840628489892,0.393727518209649,0.38772223688055,0.116013975380533,0.131999999999999,19,11,0.820928952469828,0.145714465334514,0.0321633004737922,0.62380489148275,1.59100170573023,1,8.7339060126122
n20-final,20,100,8000,1,11,nearest,fixed-total,0.344982651386316,0.613098008187493,0.229886584104497,0.0380128061313956,0.227999999999998,19,11,0.524665548484161,0.556683032257474,0.122621816714623,0.621850199950845,1.59006992306779,1,6.66356770746608
n20-final,20,100,8000,1,11,nearest,original,0.865047540857422,0.906899370991076,0.155534802263117,0.0264240138860551,0.131999999999999,19,11,0.49545344836868,0.608806659095752,0.0732504480211933,0.624638700879237,1.59076342180768,1,4.45271956207982
n20-final,20,100,8000,1,11,random,fixed-total,0.507947744515302,0.675641965919465,0.195487754729168,0.0524329664735003,0.227999999999998,19,11,0.553386617418014,0.550288915239538,0.124181550522982,0.618251102387845,1.5895696943514,1,11.5099848124297
n20-final,20,100,8000,1,11,random,original,0.672099021280688,0.748227083784499,0.239919123044429,0.0674642743948932,0.131999999999999,19,11,0.577523962259894,0.528226109371891,0.0677870873811684,0.627390028259388,1.59112517324918,1,11.5099848124297
n20-final,20,100,8000,1,12,balanced,fixed-total,0.648022926294555,0.776063148520999,0.182163134185929,0.050479283061973,0.227999999999998,19,12,0.621919064698849,0.435357271563292,0.106744044075517,0.617756738068796,1.58957694275755,1,10.0629499700979
n20-final,20,100,8000,1,12,balanced,original,0.457922376780412,0.61903811795188,0.249760824958612,0.0686974346390159,0.144,19,12,0.649458735423193,0.452099028894943,0.0562621049496624,0.624721421813747,1.59091387812662,1,10.5266798359317
n20-final,20,100,8000,1,12,nearest,fixed-total,0.736383066816968,0.818844346284872,0.130523413428922,0.0215306779750971,0.227999999999998,19,12,0.486601654934871,0.627862209170596,0.143949033255654,0.619015391540872,1.58922005242387,1,6.66891530438649
n20-final,20,100,8000,1,12,nearest,original,0.613351785287056,0.735236214547477,0.278527307410273,0.0680492684929213,0.144,19,12,0.574515484260031,0.504701900335101,0.0774246285453454,0.625992697825954,1.59089657146528,1,7.07514004639151
n20-final,20,100,8000,1,12,random,fixed-total,0.30123667020779,0.671116770441963,0.155991477571692,0.0275398510068388,0.227999999999998,19,12,0.504277047445195,0.590025767870206,0.128404007903444,0.622201776361847,1.59019875358154,1,12.5249896664053
n20-final,20,100,8000,1,12,random,original,0.72040126818787,0.829579402645875,0.199016647416329,0.0453953511982277,0.144,19,12,0.524048508758694,0.576082043621098,0.0799499856315214,0.627978580510815,1.59119663434297,1,12.5249896664053
n20-final,20,100,8000,1,13,balanced,fixed-total,0.730063660267407,0.863270123589949,0.0819567806376349,0.0147821090062384,0.227999999999998,19,13,0.57052497971451,0.512622089974232,0.115586393391739,0.616256380748385,1.58890531091405,1,12.3358325864747
n20-final,20,100,8000,1,13,balanced,original,0.814223238727889,0.864515660849406,0.120702941797947,0.0399187622088776,0.156,19,13,0.611187680886798,0.510945156516096,0.0719536280593695,0.62256615950536,1.59048484452815,1,12.4571542352435
n20-final,20,100,8000,1,13,nearest,fixed-total,0.470832415207447,0.722944804901751,0.175066913360382,0.0315954076580598,0.227999999999998,19,13,0.522905040389179,0.567853789835611,0.13319433133553,0.619717611787024,1.58965296977174,1,9.18077689705168
n20-final,20,100,8000,1,13,nearest,original,0.838093096388462,0.904658410867943,0.177737811754529,0.0283156280731976,0.156,19,13,0.521746881014355,0.542404776389623,0.0868656745521822,0.629796451125923,1.59129656720054,1,8.12010541464188
n20-final,20,100,8000,1,13,random,fixed-total,0.953169363170975,0.987681257322567,0.0537020598644405,0.0223400026540118,0.227999999999998,19,13,0.551497769317371,0.574911378363244,0.138388409537857,0.602559343855667,1.58490115068644,1,13.6147619439642
n20-final,20,100,8000,1,13,random,original,0.36686356574833,0.522468137312914,0.266703084880529,0.0821038777003853,0.156,19,13,0.63527114108724,0.499662041334244,0.0746363383812504,0.624314920326559,1.59087809159946,1,13.6147619439642
