profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
pilot,20,60,2000,2,5,random,fixed-total,0.28032660850333,0.148016192663648,0.0425544148168325,0.228000000000001,5,0.361640392409309,0.666728248394462,0.135447645397797,0.619341573379134,0.954021576386681,1,5.16186662698459
pilot,20,60,2000,2,5,nearest,original,0.157647332729608,0.37708490199658,0.100941868758244,0.0600000000000001,5,0.502398173573319,0.489569576264028,0.0280619039353302,0.635173212817592,0.955259252396044,1,0.85177392822334
pilot,20,60,2000,2,5,nearest,fixed-total,0.0919644785541706,0.312985276313812,0.0726729549705406,0.228000000000001,5,0.397885862878865,0.625499881107577,0.122049118852436,0.619256017524389,0.953909721088658,1,0.725272401330049
pilot,20,60,2000,2,5,balanced,original,0.12507560735323,0.385141905782217,0.112713272469545,0.0600000000000001,5,0.72189743666764,0.180997081845493,0.0149831642071985,0.633863010317368,0.955179430581999,1,3.39516146049155
pilot,20,60,2000,2,5,balanced,fixed-total,0.073193679838983,0.391072292335291,0.113022377722807,0.228000000000001,5,0.719743122176875,0.183581238238282,0.0569163722463052,0.613820241382182,0.953748595539856,1,3.54318697888079
pilot,20,60,2000,2,7,random,original,0.148904688986199,0.376921013182598,0.111804890502582,0.0839999999999997,7,0.627990205140153,0.342231366469364,0.032646517222577,0.626981606718055,0.954758150797595,1,7.22799450696292
pilot,20,60,2000,2,7,random,fixed-total,0.214628137694764,0.19938595735791,0.0685742293435665,0.228000000000001,7,0.475404833401851,0.603957802104105,0.122653342800792,0.615737801524965,0.953847856324267,1,7.22799450696292
pilot,20,60,2000,2,7,nearest,original,0.0637766895202252,0.369579398802986,0.0942501412722257,0.0839999999999997,7,0.553578548610073,0.461110075568798,0.0364099466542654,0.629396794218682,0.954904730682701,1,1.93413984321527
pilot,20,60,2000,2,7,nearest,fixed-total,0.125819658289005,0.237380763282775,0.045605437581485,0.228000000000001,7,0.419307883485509,0.651158444828976,0.127266810417617,0.619243061447582,0.953949308178578,1,0.460178231636864
pilot,20,60,2000,2,7,balanced,original,0.115876207231586,0.385093826298165,0.107537866216368,0.0839999999999997,7,0.766981580866781,0.143283173165266,0.0195767121957576,0.629424924011384,0.954907876941094,1,5.32701663982964
pilot,20,60,2000,2,7,balanced,fixed-total,0.15391372789914,0.377977012277317,0.113902733449086,0.228000000000001,7,0.762472113271635,0.15054841992503,0.0538216816826192,0.615101059671829,0.953980641228986,1,5.0333110438196
pilot,20,60,2000,2,10,random,original,0.147671680930121,0.377646004900347,0.114239802317024,0.12,10,0.702097229580876,0.289921498896977,0.0427388469894969,0.618539716168819,0.954241123478427,1,10.3966249157141
pilot,20,60,2000,2,10,random,fixed-total,0.312870304380587,0.293051932620406,0.0932743805885912,0.228000000000001,10,0.617332124968561,0.473624649969456,0.104861170262789,0.615143697011145,0.953819831082789,1,10.3966249157141
pilot,20,60,2000,2,10,nearest,original,0.182772713472431,0.371295024888307,0.108180174806275,0.12,10,0.666449236872684,0.354559095059317,0.0475567810632294,0.62077486229253,0.954377247372831,1,4.34683774867508
pilot,20,60,2000,2,10,nearest,fixed-total,0.231988661761392,0.321736490174518,0.0910288493301698,0.228000000000001,10,0.571946884508826,0.52552411655266,0.110200889351274,0.616890338888675,0.953870333325082,1,4.61492355617998
pilot,20,60,2000,2,10,balanced,original,0.127776301849565,0.382453188326504,0.0999451602896882,0.12,10,0.795762375804012,0.153899053863025,0.030649871256472,0.619269423059242,0.95428620523504,1,8.51289531884768
