seed,focal,startIndex,q,tau,T,predictionSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS,estimatedStartRate
138,1,6001,0.001,Inf,3,0.00134056149895454,0.0015470590841973,0.0138670177086031,1,0,0,0.651763580586896,-0.00211790639466486
138,1,6001,0.001,Inf,10.2,0.0109321232727827,0.0150123053866208,0.404229764729716,1,0,0,0.651763580586896,-0.00211790639466486
138,1,6001,0.001,Inf,30,0.0974493626894578,0.138437030182575,9.42419018531961,1,1,0,0.651763580586896,-0.00211790639466486
138,1,6001,0.001,Inf,60,0.471203901513712,0.655909811610098,73.6840836812098,1,1,0,0.651763580586896,-0.00211790639466486
138,1,6001,0.001,Inf,120,1.80857605479529,2.54513248605671,582.711172352604,1,1,0,0.651763580586896,-0.00211790639466486
138,1,6801,1e-06,1,3,0.000889122882217705,0.000167939188539391,7.75976046449643e-06,0,0,0,9.67902139600458,-0.000357458555551518
138,1,6801,1e-06,1,10.2,0.00306602413074989,0.00148459526332742,1.49508376673011e-05,0,0,0,9.67902139600458,-0.000357458555551518
138,1,6801,1e-06,1,30,0.017128758774562,0.0130041300525606,3.4750830993288e-05,0,0,0,9.67902139600458,-0.000357458555551518
138,1,6801,1e-06,1,60,0.0491776680407048,0.0419918591868901,6.47508309932881e-05,0,0,0,9.67902139600458,-0.000357458555551518
138,1,6801,1e-06,1,120,0.0819114837668926,0.072555128523739,0.00012475083099329,0,0,0,9.67902139600458,-0.000357458555551518
138,1,6801,1e-06,3,3,0.000185302863411284,0.000167939188539391,2.621962987178e-05,0,0,0,1.3881816287015,-0.0013762981261715
138,1,6801,1e-06,3,10.2,0.00142904937293275,0.00148459526332742,8.46509429289682e-05,0,0,0,1.3881816287015,-0.0013762981261715
138,1,6801,1e-06,3,30,0.0128075323629878,0.0130041300525606,0.000262194259975436,0,0,0,1.3881816287015,-0.0013762981261715
138,1,6801,1e-06,3,60,0.0416379049594305,0.0419918591868901,0.000532193362731017,0,0,0,1.3881816287015,-0.0013762981261715
138,1,6801,1e-06,3,120,0.0720896298667015,0.072555128523739,0.00107219336269028,0,0,0,1.3881816287015,-0.0013762981261715
138,1,6801,1e-06,10,3,2.27562328640883e-05,0.000167939188539391,5.60826927994598e-05,1,0,0,0.711544666994184,-0.002712208329741
138,1,6801,1e-06,10,10.2,0.000401169351523876,0.00148459526332742,0.000332597444157278,1,0,0,0.711544666994184,-0.002712208329741
138,1,6801,1e-06,10,30,0.00758722215757685,0.0130041300525606,0.00189287592835178,0,0,0,0.711544666994184,-0.002712208329741
138,1,6801,1e-06,10,60,0.0312246790256222,0.0419918591868901,0.00482447770600096,0,0,0,0.711544666994184,-0.002712208329741
138,1,6801,1e-06,10,120,0.0581192959900207,0.072555128523739,0.0108208700349804,0,0,0,0.711544666994184,-0.002712208329741
138,1,6801,1e-06,30,3,1.04191646146397e-06,0.000167939188539391,7.30629624047013e-05,1,0,0,0.679912624856794,-0.00334031030499932
