seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered
101,10,61,1e-08,120,0.164115670020268,0.103372902266731,0.00965274561946435,0
101,10,41,1e-06,30,0.6618940459166,0.00790593944292601,0.0175581569974071,0
101,10,41,1e-06,60,3.94485331071585,0.0351449842404254,0.105439709753164,0
101,10,41,1e-06,120,3.7318912903768,0.577989930656832,0.70847130360818,0
101,10,61,1e-06,30,4.48316185594409,0.318777719816644,0.0175581569974071,0
101,10,61,1e-06,60,9.25105453715675,0.00595370512092874,0.105439709753164,0
101,10,61,1e-06,120,0.125347737687972,0.103372902266731,0.70847130360818,1
101,10,41,0.0001,30,0.556004365129418,0.00790593944292601,1.68021537013102,1
101,10,41,0.0001,60,3.44675891285996,0.0351449842404254,10.3200544534141,1
101,10,41,0.0001,120,4.77356397714826,0.577989930656832,70.0789037415827,1
101,10,61,0.0001,30,4.86526643079461,0.318777719816644,1.68021537013102,1
101,10,61,0.0001,60,9.4737447079469,0.00595370512092874,10.3200544534141,1
101,10,61,0.0001,120,0.00158098089817916,0.103372902266731,70.0789037415827,1
101,11,41,1e-08,30,0.0801710172999438,0.071435457740468,0.000511393838153745,0
101,11,41,1e-08,60,6.07084003685739,5.79327353266876,0.00188882742211014,0
101,11,41,1e-08,120,8.91895137524916,8.10681222541451,0.00965274561946435,0
101,11,61,1e-08,30,1.10255599988807,0.205134076104727,0.000511393838153745,0
101,11,61,1e-08,60,5.03018190150101,1.02979629383804,0.00188882742211014,0
101,11,61,1e-08,120,6.41237294749323,1.59033274604556,0.00965274561946435,0
101,11,41,1e-06,30,0.153147500601471,0.071435457740468,0.0175581569974071,0
101,11,41,1e-06,60,7.05261827807271,5.79327353266876,0.105439709753164,0
101,11,41,1e-06,120,8.63071636884202,8.10681222541451,0.70847130360818,0
101,11,61,1e-06,30,0.373184644794955,0.205134076104727,0.0175581569974071,0
101,11,61,1e-06,60,1.75771518711223,1.02979629383804,0.105439709753164,0
101,11,61,1e-06,120,3.52741324753297,1.59033274604556,0.70847130360818,0
101,11,41,0.0001,30,0.154534514877389,0.071435457740468,1.68021537013102,1
101,11,41,0.0001,60,7.06814060195974,5.79327353266876,10.3200544534141,1
101,11,41,0.0001,120,8.60003567581435,8.10681222541451,70.0789037415827,1
101,11,61,0.0001,30,0.321021968269683,0.205134076104727,1.68021537013102,1
101,11,61,0.0001,60,1.5427554287381,1.02979629383804,10.3200544534141,1
101,11,61,0.0001,120,2.94330855890293,1.59033274604556,70.0789037415827,1
101,12,41,1e-08,30,0.237766541110125,0.238511371802428,0.000511393838153745,0
101,12,41,1e-08,60,8.686213202799,8.81719292702124,0.00188882742211014,0
101,12,41,1e-08,120,9.11608030320195,8.72846871203591,0.00965274561946435,0
101,12,61,1e-08,30,2.49414169390892,0.0492617935095487,0.000511393838153745,0
101,12,61,1e-08,60,9.61860286961766,0.406486373590713,0.00188882742211014,0
101,12,61,1e-08,120,4.61004328851132,6.57233780867628,0.00965274561946435,0
101,12,41,1e-06,30,0.186055942515697,0.238511371802428,0.0175581569974071,0
101,12,41,1e-06,60,8.15102346310381,8.81719292702124,0.105439709753164,0
101,12,41,1e-06,120,9.60830889163856,8.72846871203591,0.70847130360818,0
101,12,61,1e-06,30,8.66429960435598,0.0492617935095487,0.0175581569974071,0
101,12,61,1e-06,60,0.046857527745339,0.406486373590713,0.105439709753164,1
101,12,61,1e-06,120,3.98996821456298,6.57233780867628,0.70847130360818,0
101,12,41,0.0001,30,0.18548486148962,0.238511371802428,1.68021537013102,1
101,12,41,0.0001,60,8.14519811861545,8.81719292702124,10.3200544534141,1
101,12,41,0.0001,120,9.59754861281054,8.72846871203591,70.0789037415827,1
101,12,61,0.0001,30,8.42490230048533,0.0492617935095487,1.68021537013102,0
101,12,61,0.0001,60,0.0809547312973818,0.406486373590713,10.3200544534141,1
101,12,61,0.0001,120,3.51642058203939,6.57233780867628,70.0789037415827,1
101,13,41,1e-08,30,0.000458316153445367,2.75716571118362e-05,0.000511393838153745,1
101,13,41,1e-08,60,0.000788929685399887,0.00019129855997513,0.00188882742211014,1
101,13,41,1e-08,120,0.029867115111925,0.0263625507569319,0.00965274561946435,1
101,13,61,1e-08,30,5.66384748575086,0.445432565369846,0.000511393838153745,0
101,13,61,1e-08,60,1.10491926328878,0.514259055400396,0.00188882742211014,0
101,13,61,1e-08,120,1.67986239678086,4.45037312673044,0.00965274561946435,0
101,13,41,1e-06,30,0.00180735643467815,2.75716571118362e-05,0.0175581569974071,1
101,13,41,1e-06,60,0.00672160765695942,0.00019129855997513,0.105439709753164,1
101,13,41,1e-06,120,0.000873568460238871,0.0263625507569319,0.70847130360818,1
101,13,61,1e-06,30,1.83211631069276,0.445432565369846,0.0175581569974071,0
101,13,61,1e-06,60,8.79997129686544,0.514259055400396,0.105439709753164,0
101,13,61,1e-06,120,5.74666561397112,4.45037312673044,0.70847130360818,0
101,13,41,0.0001,30,0.00175405421674919,2.75716571118362e-05,1.68021537013102,1
101,13,41,0.0001,60,0.00646995621682584,0.00019129855997513,10.3200544534141,1
101,13,41,0.0001,120,0.000684933847514304,0.0263625507569319,70.0789037415827,1
101,13,61,0.0001,30,1.6550527090867,0.445432565369846,1.68021537013102,1
101,13,61,0.0001,60,9.56417345081448,0.514259055400396,10.3200544534141,1
101,13,61,0.0001,120,6.97730725283223,4.45037312673044,70.0789037415827,1
101,14,41,1e-08,30,0.033423292322747,0.0512036597962229,0.000511393838153745,0
101,14,41,1e-08,60,0.00950628916713887,0.0419977217326133,0.00188882742211014,0
101,14,41,1e-08,120,0.526405767542054,0.240259022593538,0.00965274561946435,0
101,14,61,1e-08,30,5.88034602772564,0.373453988216944,0.000511393838153745,0
101,14,61,1e-08,60,1.01850377252035,0.285329007342051,0.00188882742211014,0
101,14,61,1e-08,120,2.69124204843054,8.1485149161821,0.00965274561946435,0
101,14,41,1e-06,30,0.0099788734831526,0.0512036597962229,0.0175581569974071,1
101,14,41,1e-06,60,0.00234552543010668,0.0419977217326133,0.105439709753164,1
